RouteStopMapIID,RouteID,StopName,Longitude,Latitude,geocode_lat,geocode_lon,final_lat,final_lon
119929,40612,EZDAN 28,,,25.161727,51.5538442,25.161727,51.5538442
119932,40612,EZDAN 30,,,25.1493218,51.5623661,25.1493218,51.5623661
119935,40612,WUKAIR,,,25.1759556,51.5673439,25.1759556,51.5673439
119941,40613,OLD SALATA,,,25.2858617,51.5466421,25.2858617,51.5466421
119944,40614,ABU HAMOUR,,,25.225796,51.4772388,25.225796,51.4772388
119945,40614,AIN KHALID,,,25.2174778,51.4591334,25.2174778,51.4591334
119946,40614,AZIZIA,,,25.2824393,51.5321665,25.2824393,51.5321665
119948,40614,MAMOURA,,,25.2457354,51.5307739,25.2457354,51.5307739
119953,40615,OLD AIRPORT,,,25.2504992,51.5539414,25.2504992,51.5539414
119963,40617,THUMAMA,,,25.665219,51.5059239,25.665219,51.5059239
119965,40618,NAJMA,,,25.2689532,51.5424004,25.2689532,51.5424004
119968,40619,EZDAN 24,,,25.1608591,51.5510759,25.1608591,51.5510759
119969,40619,EZDAN 28,,,25.161727,51.5538442,25.161727,51.5538442
119970,40619,EZDAN 29,,,25.1721247,51.5716001,25.1721247,51.5716001
119971,40619,EZDAN 30,,,25.1493218,51.5623661,25.1493218,51.5623661
119972,40619,EZDAN 31,,,25.161727,51.5538442,25.161727,51.5538442
119973,40619,EZDAN 37,,,25.1499147,51.5545658,25.1499147,51.5545658
119978,40619,EZDAN OASIS,,,25.1625073,51.5179385,25.1625073,51.5179385
119980,40619,WUKAIR,,,25.1759556,51.5673439,25.1759556,51.5673439
119982,40620,AL NASR,,,25.2717606,51.5031783,25.2717606,51.5031783
119983,40620,AL SAAD,,,25.3545757,51.5140795,25.3545757,51.5140795
119985,40620,BIN OMRAN,,,25.3007605,51.4947297,25.3007605,51.4947297
119986,40620,FAREEJ KHULAIB,,,0.0,0.0,,
119987,40620,MADINAT KHALIFA SOUTH,,,25.3143376,51.4801011,25.3143376,51.4801011
119988,40620,MARKHIYA,,,25.3281657,51.4936494,25.3281657,51.4936494
120004,40628,HILAL,,,25.2603758,51.5464884,25.2603758,51.5464884
120010,40630,ONAIZA,,,25.3230204,51.5212534,25.3230204,51.5212534
120011,40630,DAFNA,,,25.323485,51.5281062,25.323485,51.5281062
120012,40630,PEARL QATAR,,,25.3739538,51.5183014,25.3739538,51.5183014
120020,40612,YASMIN VILLAGE,,,0.0,0.0,,
120028,40633,WAKRAH,,,25.1566623,51.6013212,25.1566623,51.6013212
120035,40634,OLD AIRPORT,,,25.2504992,51.5539414,25.2504992,51.5539414
120044,40636,BIN MAHMOUD,,,25.2803242,51.5143672,25.2803242,51.5143672
120048,40637,AL SADD,,,25.2781809,51.5019019,25.2781809,51.5019019
120054,40638,AIN KHALID,,,25.2174778,51.4591334,25.2174778,51.4591334
120055,40638,ABU HAMOUR,,,25.225796,51.4772388,25.225796,51.4772388
120062,40639,WESTBAY,,,25.3261119,51.5173168,25.3261119,51.5173168
120063,40640,AL KHOR,,,25.6837333,51.5031212,25.6837333,51.5031212
120065,40641,MATAR KADEEM,,,0.0,0.0,,
120066,40641,OLD AIRPORT,,,25.2504992,51.5539414,25.2504992,51.5539414
120071,40642,NUAIJA,,,25.2476252,51.531772,25.2476252,51.531772
120072,40643,EZDAN OASIS,,,25.1625073,51.5179385,25.1625073,51.5179385
120075,40643,MESHAF,,,25.338151,51.4783909,25.338151,51.4783909
120076,40644,NAJMA,,,25.2689532,51.5424004,25.2689532,51.5424004
120080,40645,EZDAN 23,,,25.1612758,51.5539274,25.1612758,51.5539274
120081,40645,EZDAN 24,,,25.1608591,51.5510759,25.1608591,51.5510759
120082,40645,WUKAIR,,,25.1759556,51.5673439,25.1759556,51.5673439
120083,40645,EZDAN 21,,,25.161727,51.5538442,25.161727,51.5538442
120085,40645,EZDAN 22,,,25.1627243,51.5514381,25.1627243,51.5514381
120091,40646,THUMAMA,,,25.665219,51.5059239,25.665219,51.5059239
120093,40631,WAKRAH,,,25.1566623,51.6013212,25.1566623,51.6013212
120100,40647,LUQTA,,,25.3200083,51.4660272,25.3200083,51.4660272
120101,40622,OLD AIRPORT,,,25.2504992,51.5539414,25.2504992,51.5539414
120104,40622,THUMAMA,,,25.665219,51.5059239,25.665219,51.5059239
120117,40628,FAREEJ ABDUL AZIZ,,,0.0,0.0,,
120118,40628,NAJMA,,,25.2689532,51.5424004,25.2689532,51.5424004
120119,40630,MARKHIYA,,,25.3281657,51.4936494,25.3281657,51.4936494
120126,40612,EZDAN 29,,,25.1721247,51.5716001,25.1721247,51.5716001
120132,40632,EZDAN 09,,,25.1721247,51.5716001,25.1721247,51.5716001
120133,40632,EZDAN 10,,,25.1721247,51.5716001,25.1721247,51.5716001
120134,40632,EZDAN 58,,,25.1721247,51.5716001,25.1721247,51.5716001
120135,40633,AL MUFTAH VILLAGE,,,0.0,0.0,,
120136,40635,UMM GHWAILINA,,,0.0,0.0,,
120145,40638,UM AL SANEEM,,,0.0,0.0,,
120147,40640,THAKHIRA,,,25.6837333,51.5031212,25.6837333,51.5031212
120148,40642,NEW SALATA,,,25.2602491,51.5035661,25.2602491,51.5035661
120150,40644,MANSOURA,,,25.2656514,51.5321106,25.2656514,51.5321106
120157,40613,UMM GHWALINA,,,0.0,0.0,,
120159,40616,MUNTAZAH,,,25.1779311,51.6104865,25.1779311,51.6104865
120160,40616,MUSHEIREB,,,25.2435173,51.3941289,25.2435173,51.3941289
120161,40618,MANSOURA,,,25.2656514,51.5321106,25.2656514,51.5321106
120162,40619,WAKRAH,,,25.1566623,51.6013212,25.1566623,51.6013212
120163,40619,AL MUFTAH VILLAGE,,,0.0,0.0,,
120164,40619,EZDAN 03,,,25.161727,51.5538442,25.161727,51.5538442
120165,40619,EZDAN 04,,,25.1721247,51.5716001,25.1721247,51.5716001
120166,40619,MESHAF CAMPUS,,,0.0,0.0,,
120167,40619,EZDAN 05,,,25.1721247,51.5716001,25.1721247,51.5716001
120168,40619,EZDAN 06,,,25.1721247,51.5716001,25.1721247,51.5716001
120169,40619,EZDAN 07,,,25.1721247,51.5716001,25.1721247,51.5716001
120170,40620,GHARAFA,,,25.3447465,51.4404612,25.3447465,51.4404612
120171,40620,BIN MAHMOUD,,,25.2803242,51.5143672,25.2803242,51.5143672
120172,40621,AL KHOR - STADIUM SIDE,,,25.6521339,51.4878055,25.6521339,51.4878055
120173,40622,UMM GHWALINA,,,0.0,0.0,,
120174,40623,MUSHEIREB,,,25.2435173,51.3941289,25.2435173,51.3941289
120175,40623,BIN MAHMOUD,,,25.2803242,51.5143672,25.2803242,51.5143672
120176,40624,DUHAIL,,,25.3535243,51.4668217,25.3535243,51.4668217
120177,40624,GHARAFA,,,25.3447465,51.4404612,25.3447465,51.4404612
120179,40647,AL RAYYAN,,,24.9304741,50.9776888,24.9304741,50.9776888
120181,40647,MUAITHER,,,25.2743043,51.4160217,25.2743043,51.4160217
120182,40647,SHABIYATH KHALIFA,,,0.0,0.0,,
120184,40631,EZDAN 06,,,25.1721247,51.5716001,25.1721247,51.5716001
120185,40631,EZDAN 09,,,25.1721247,51.5716001,25.1721247,51.5716001
120186,40631,EZDAN OASIS,,,25.1625073,51.5179385,25.1625073,51.5179385
120187,40637,AL NASR,,,25.2717606,51.5031783,25.2717606,51.5031783
120188,40620,AL SADD,,,25.2781809,51.5019019,25.2781809,51.5019019
120189,40619,WAKRA,,,25.153618,51.5993387,25.153618,51.5993387
120196,40626,BIN OMRAN,,,25.3007605,51.4947297,25.3007605,51.4947297
120198,40626,FAREEJ KHULAIB,,,0.0,0.0,,
120201,40627,AL KHOR - LULU SIDE,,,0.0,0.0,,
120203,40628,DOHA JADEED,,,25.2737445,51.5001823,25.2737445,51.5001823
120204,40628,MANSOURA,,,25.2656514,51.5321106,25.2656514,51.5321106
120207,40629,THAKHIRA,,,25.6837333,51.5031212,25.6837333,51.5031212
120208,40639,PEARL QATAR,,,25.3739538,51.5183014,25.3739538,51.5183014
120209,40630,CITY CENTER,,,25.2531766,51.4886978,25.2531766,51.4886978
120213,40630,WEST BAY,,,25.3228997,51.5329934,25.3228997,51.5329934
120215,40622,OLD SALATA,,,25.2858617,51.5466421,25.2858617,51.5466421
120216,40649,DOHA JADEED,,,25.2737445,51.5001823,25.2737445,51.5001823
120219,40650,ABUHAMOUR,,,0.0,0.0,,
120221,40650,AIN KHALID,,,25.2174778,51.4591334,25.2174778,51.4591334
120222,40650,MAMOURA,,,25.2457354,51.5307739,25.2457354,51.5307739
120223,40650,NUAIJA,,,25.2476252,51.531772,25.2476252,51.531772
120225,40618,AL HILAL,,,25.2603758,51.5464884,25.2603758,51.5464884
120226,40651,WAKRA,,,25.153618,51.5993387,25.153618,51.5993387
120227,40652,MESAIEED,,,24.9953944,51.5493583,24.9953944,51.5493583
120229,40653,GHARAFA,,,25.3447465,51.4404612,25.3447465,51.4404612
120230,40653,LUQTA,,,25.3200083,51.4660272,25.3200083,51.4660272
120231,40653,RAYYAN,,,24.9304741,50.9776888,24.9304741,50.9776888
120232,40653,BANI HAJR,,,25.3170873,51.3970003,25.3170873,51.3970003
120233,40653,WAJBAH,,,25.2939019,51.4126401,25.2939019,51.4126401
120235,40654,NEW THUMAMA,,,0.0,0.0,,
120236,40654,BARWA CITY,,,25.1955552,51.5040255,25.1955552,51.5040255
120239,40655,OLD SALATA,,,25.2858617,51.5466421,25.2858617,51.5466421
120240,40655,OLD GHANIM,,,25.2812509,51.5356481,25.2812509,51.5356481
120242,40656,MADINAT KHALIFA SOUTH,,,25.3143376,51.4801011,25.3143376,51.4801011
120243,40656,MESSILA,,,25.3017387,51.4824336,25.3017387,51.4824336
120247,40658,MUSHEIREB,,,25.2435173,51.3941289,25.2435173,51.3941289
120249,40659,MURRAH,,,25.2365611,51.4359204,25.2365611,51.4359204
120251,40659,SAILIYA,,,25.2045101,51.3606202,25.2045101,51.3606202
120252,40659,MUAITHER,,,25.2743043,51.4160217,25.2743043,51.4160217
120253,40623,AL SAAD,,,25.3545757,51.5140795,25.3545757,51.5140795
120254,40623,AL NASAR,,,0.0,0.0,,
120255,40660,AL KHOR OOREDOO,,,0.0,0.0,,
120256,40660,AL KHOR FISH MARKET,,,25.6859069,51.5158107,25.6859069,51.5158107
120257,40625,MADINAT KHALIFA SOUTH,,,25.3143376,51.4801011,25.3143376,51.4801011
120258,40661,WUKAIR,,,25.1759556,51.5673439,25.1759556,51.5673439
120259,40661,EZDAN18,,,0.0,0.0,,
120260,40662,MUNTAZAH,,,25.1779311,51.6104865,25.1779311,51.6104865
120262,40663,THUMAMA,,,25.665219,51.5059239,25.665219,51.5059239
120263,40664,HILAL,,,25.2603758,51.5464884,25.2603758,51.5464884
120264,40665,MANSOURA,,,25.2656514,51.5321106,25.2656514,51.5321106
120265,40665,NAJMA,,,25.2689532,51.5424004,25.2689532,51.5424004
120270,40667,GHARAFA,,,25.3447465,51.4404612,25.3447465,51.4404612
120271,40667,MARKHIYA,,,25.3281657,51.4936494,25.3281657,51.4936494
120272,40667,BIN OMRAN,,,25.3007605,51.4947297,25.3007605,51.4947297
120273,40667,MADINAT KHALIFA SOUTH,,,25.3143376,51.4801011,25.3143376,51.4801011
120276,40616,NEW SALATA,,,25.2602491,51.5035661,25.2602491,51.5035661
120277,40648,EZDAN 11,,,25.1721247,51.5716001,25.1721247,51.5716001
120279,40652,WAKRAH,,,25.1566623,51.6013212,25.1566623,51.6013212
120283,40658,FAREEJ ABDUL AZIZ,,,0.0,0.0,,
120289,40654,MESAEMER,,,0.0,0.0,,
120290,40655,UMM GHWALINA,,,0.0,0.0,,
120293,40650,MUMTHAZA,,,0.0,0.0,,
120295,40650,NEW SALATA,,,25.2602491,51.5035661,25.2602491,51.5035661
120296,40623,AL HITMI,,,25.2826404,51.5402757,25.2826404,51.5402757
120297,40668,WAKRAH HOSPITAL SIDE,,,25.1675045,51.5874199,25.1675045,51.5874199
120298,40668,WAKRAH BEHIND RETAIL MART,,,0.0,0.0,,
120299,40669,EZDAN 3,,,25.1721247,51.5716001,25.1721247,51.5716001
