StudentRouteStopMapIID,StudentID,PickupStopMapID,DropStopMapID,IsOneWay,PickupRouteID,DropStopRouteID,SchoolID,AcademicYearID,TransportStatusID,ClassID,SectionID
23330,4173,120387.0,120387.0,False,40617.0,40617.0,10,10,2.0,,
23339,4283,120359.0,120359.0,False,40679.0,40679.0,10,10,2.0,,
23502,4063,120359.0,119953.0,False,40679.0,40615.0,10,10,1.0,,
20770,1817,120174.0,120174.0,False,40623.0,40623.0,20,20,1.0,19.0,14.0
23015,5568,120257.0,120257.0,False,40625.0,40625.0,20,20,1.0,20.0,14.0
23472,4259,120382.0,120382.0,False,40621.0,40621.0,20,20,1.0,2.0,16.0
14395,3425,120242.0,120242.0,False,40656.0,40656.0,30,22,1.0,7.0,7.0
14424,1859,120277.0,120277.0,False,40648.0,40648.0,30,22,1.0,7.0,8.0
14430,2366,120066.0,120066.0,False,40641.0,40641.0,30,22,1.0,7.0,7.0
14800,1848,120063.0,120063.0,False,40640.0,40640.0,30,22,1.0,7.0,7.0
20905,2564,120044.0,120044.0,False,40636.0,40636.0,30,22,1.0,6.0,8.0
21120,1883,120080.0,120080.0,False,40645.0,40645.0,30,22,1.0,,
22170,3269,120303.0,120303.0,False,40672.0,40672.0,30,22,1.0,3.0,1.0
22625,4790,120343.0,120343.0,False,40677.0,40677.0,30,22,2.0,11.0,11.0
23064,577,120368.0,120368.0,False,40682.0,40682.0,30,22,2.0,,
23081,5599,120136.0,120136.0,False,40635.0,40635.0,30,22,2.0,,
23296,5702,120054.0,120054.0,False,40638.0,40638.0,30,22,1.0,7.0,8.0
23592,5787,120392.0,120392.0,False,40683.0,40683.0,30,22,1.0,11.0,9.0
24180,223,120527.0,120527.0,False,40721.0,40721.0,30,23,1.0,38.0,9.0
24269,16480,120527.0,120527.0,,40721.0,40721.0,30,23,,33.0,24.0
24281,16514,120474.0,120474.0,,40699.0,40699.0,30,23,,33.0,28.0
24285,1711,120457.0,120457.0,False,40692.0,40692.0,30,23,1.0,6.0,7.0
24353,16259,120457.0,120457.0,,40692.0,40692.0,30,23,,36.0,28.0
24364,3806,120454.0,120454.0,,40689.0,40689.0,30,23,,,
24468,114,120529.0,120529.0,False,40722.0,40722.0,30,23,1.0,38.0,7.0
24605,4322,120470.0,120470.0,False,40698.0,40698.0,30,23,2.0,38.0,7.0
25838,3395,120569.0,120569.0,False,40736.0,40736.0,30,23,1.0,38.0,9.0
26916,4983,120737.0,,True,40709.0,,30,23,2.0,31.0,28.0
27203,3332,120474.0,120474.0,False,40699.0,40699.0,30,23,2.0,18.0,21.0
27971,5575,120460.0,120460.0,False,40694.0,40694.0,30,23,2.0,38.0,9.0
24544,16387,120675.0,120675.0,,40759.0,40759.0,10,24,,35.0,30.0
28823,3384,121054.0,120928.0,False,40812.0,40775.0,30,26,1.0,38.0,7.0
28826,17182,120924.0,120924.0,,40774.0,40774.0,30,26,,38.0,7.0
28828,437,120920.0,120920.0,False,40772.0,40772.0,30,26,1.0,38.0,7.0
28830,1133,120925.0,120925.0,False,40774.0,40774.0,30,26,1.0,38.0,7.0
28832,1183,120979.0,120979.0,False,40789.0,40789.0,30,26,1.0,38.0,7.0
28833,79,120927.0,120927.0,False,40775.0,40775.0,30,26,2.0,38.0,8.0
28837,2367,121089.0,121089.0,False,40819.0,40819.0,30,26,2.0,38.0,8.0
28838,2946,120922.0,120922.0,False,40773.0,40773.0,30,26,1.0,38.0,8.0
28839,4026,121039.0,121039.0,,40807.0,40807.0,30,26,,38.0,8.0
28842,16834,120945.0,120945.0,,40780.0,40780.0,30,26,,38.0,9.0
29868,4248,121015.0,121015.0,False,40800.0,40800.0,30,26,1.0,15.0,10.0
31218,16849,120950.0,120950.0,,40782.0,40782.0,30,26,,38.0,9.0
31279,17492,121057.0,121057.0,,40813.0,40813.0,30,26,,38.0,9.0
31347,16973,120925.0,120925.0,,40774.0,40774.0,30,26,,38.0,8.0
31911,1760,121047.0,121047.0,,40810.0,40810.0,30,26,,38.0,7.0
32233,4583,121009.0,121009.0,,40798.0,40798.0,30,26,,28.0,9.0
32728,5636,121050.0,121050.0,,40811.0,40811.0,30,26,,38.0,9.0
35552,4525,,,False,,,20,31,1.0,31.0,8.0
32754,17919,121488.0,121488.0,,40874.0,40874.0,30,31,,33.0,9.0
32755,17867,121967.0,121967.0,,40953.0,40953.0,30,31,,33.0,7.0
32756,17722,121562.0,121562.0,,40892.0,40892.0,30,31,,6.0,8.0
32757,17721,121562.0,121562.0,,40892.0,40892.0,30,31,,10.0,10.0
32758,17720,121562.0,121562.0,,40892.0,40892.0,30,31,,21.0,9.0
32759,17974,121475.0,121475.0,,40870.0,40870.0,30,31,,33.0,10.0
32760,17997,121543.0,121543.0,,40887.0,40887.0,30,31,,33.0,8.0
32761,17967,121532.0,121532.0,,40884.0,40884.0,30,31,,36.0,10.0
32762,18038,121472.0,121472.0,,40869.0,40869.0,30,31,,21.0,8.0
32763,17925,121472.0,121472.0,,40869.0,40869.0,30,31,,33.0,10.0
32765,18058,121465.0,121465.0,,40866.0,40866.0,30,31,,23.0,11.0
32778,18129,121543.0,121543.0,,40887.0,40887.0,30,31,,36.0,10.0
32779,18118,121522.0,121522.0,,40881.0,40881.0,30,31,,10.0,26.0
32780,18145,121470.0,121470.0,,40868.0,40868.0,30,31,,33.0,11.0
32781,17857,121542.0,121542.0,,40886.0,40886.0,30,31,,33.0,7.0
32782,18175,121599.0,121599.0,,40902.0,40902.0,30,31,,28.0,7.0
32784,18201,121610.0,121610.0,,40905.0,40905.0,30,31,,36.0,10.0
32786,18196,121532.0,121532.0,,40884.0,40884.0,30,31,,1.0,27.0
32787,18220,121639.0,121639.0,,40880.0,40880.0,30,31,,10.0,26.0
32788,18217,121547.0,121547.0,,40888.0,40888.0,30,31,,10.0,26.0
32789,18254,121586.0,121586.0,,40898.0,40898.0,30,31,,10.0,26.0
32791,18283,121626.0,121626.0,,40909.0,40909.0,30,31,,10.0,22.0
32792,18302,121564.0,121564.0,,40893.0,40893.0,30,31,,11.0,9.0
32794,18269,121506.0,121506.0,,40878.0,40878.0,30,31,,21.0,7.0
32795,18268,121506.0,121506.0,,40878.0,40878.0,30,31,,10.0,26.0
32796,18287,121584.0,121584.0,,40897.0,40897.0,30,31,,11.0,21.0
32797,18295,121564.0,121564.0,,40893.0,40893.0,30,31,,10.0,26.0
32798,18321,121478.0,121478.0,,40871.0,40871.0,30,31,,11.0,9.0
32799,18110,121478.0,121478.0,,40871.0,40871.0,30,31,,36.0,7.0
32802,18241,121567.0,121567.0,,40894.0,40894.0,30,31,,10.0,23.0
32803,18218,121597.0,121597.0,,40901.0,40901.0,30,31,,10.0,22.0
32804,18336,121513.0,121513.0,,40879.0,40879.0,30,31,,21.0,8.0
32809,18144,121542.0,121542.0,,40886.0,40886.0,30,31,,33.0,11.0
32810,18072,121586.0,121586.0,,40898.0,40898.0,30,31,,33.0,9.0
32813,18094,121624.0,121624.0,,40908.0,40908.0,30,31,,33.0,10.0
32814,18181,121472.0,121472.0,,40869.0,40869.0,30,31,,1.0,8.0
32815,17968,121540.0,121540.0,,40886.0,40886.0,30,31,,33.0,10.0
32821,3559,121554.0,121554.0,False,40890.0,40890.0,30,31,1.0,6.0,11.0
32822,4192,121580.0,121580.0,,40896.0,40896.0,30,31,,6.0,9.0
32825,277,121547.0,121547.0,False,40888.0,40888.0,30,31,2.0,6.0,7.0
32826,324,121498.0,121498.0,False,40876.0,40876.0,30,31,1.0,6.0,7.0
32827,580,121568.0,121568.0,False,40894.0,40894.0,30,31,1.0,6.0,7.0
32828,750,121584.0,121584.0,,40897.0,40897.0,30,31,,6.0,7.0
32829,1119,121532.0,121532.0,False,40884.0,40884.0,30,31,1.0,6.0,7.0
32832,2067,121465.0,121465.0,False,40866.0,40866.0,30,31,1.0,6.0,7.0
32833,2170,121626.0,121626.0,False,40909.0,40909.0,30,31,1.0,6.0,7.0
32834,3628,121519.0,121519.0,,40880.0,40880.0,30,31,,6.0,7.0
32835,3837,121573.0,121573.0,False,40895.0,40895.0,30,31,1.0,6.0,7.0
32836,4142,121472.0,121472.0,False,40869.0,40869.0,30,31,2.0,6.0,10.0
32838,5644,121538.0,121538.0,,40885.0,40885.0,30,31,,6.0,7.0
32841,16788,121594.0,121594.0,False,40900.0,40900.0,30,31,1.0,6.0,7.0
32842,404,121488.0,121488.0,False,40874.0,40874.0,30,31,1.0,6.0,7.0
32844,5584,121549.0,121549.0,False,40889.0,40889.0,30,31,1.0,6.0,10.0
32845,327,121493.0,121493.0,False,40875.0,40875.0,30,31,1.0,6.0,10.0
32846,597,121475.0,121475.0,False,40870.0,40870.0,30,31,2.0,6.0,10.0
32848,1099,121455.0,121455.0,False,40864.0,40864.0,30,31,1.0,6.0,10.0
32849,1233,121599.0,121599.0,,40902.0,40902.0,30,31,1.0,6.0,10.0
32850,5479,121611.0,121611.0,False,40905.0,40905.0,30,31,2.0,6.0,10.0
32851,356,121498.0,121498.0,False,40876.0,40876.0,30,31,1.0,6.0,11.0
32853,1083,121472.0,121472.0,,40869.0,40869.0,30,31,,6.0,11.0
32854,1132,121586.0,121586.0,,40898.0,40898.0,30,31,,6.0,11.0
32855,1196,121472.0,121472.0,,40869.0,40869.0,30,31,,6.0,11.0
32857,2729,121605.0,121605.0,,40904.0,40904.0,30,31,,6.0,11.0
32858,3334,121521.0,121521.0,False,40881.0,40881.0,30,31,1.0,6.0,11.0
32859,3408,121483.0,121483.0,,40872.0,40872.0,30,31,,6.0,11.0
32860,3958,121540.0,121540.0,False,40886.0,40886.0,30,31,1.0,6.0,11.0
32861,4062,121482.0,121482.0,,40872.0,40872.0,30,31,,6.0,11.0
32862,4241,121572.0,121572.0,,40895.0,40895.0,30,31,,6.0,11.0
32863,4529,121475.0,121475.0,False,40870.0,40870.0,30,31,1.0,6.0,11.0
32864,4530,121475.0,121475.0,False,40870.0,40870.0,30,31,1.0,6.0,11.0
32865,5087,121483.0,121483.0,,40872.0,40872.0,30,31,,6.0,11.0
32867,5832,121595.0,121595.0,False,40900.0,40900.0,30,31,1.0,6.0,10.0
32868,16950,121492.0,121492.0,,40875.0,40875.0,30,31,,6.0,11.0
32869,713,121572.0,121572.0,,40895.0,40895.0,30,31,,6.0,11.0
32871,3572,121622.0,121622.0,,40908.0,40908.0,30,31,,6.0,10.0
32872,4600,121483.0,121483.0,,40872.0,40872.0,30,31,,6.0,11.0
32873,5129,121532.0,121532.0,False,40884.0,40884.0,30,31,1.0,6.0,11.0
