School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PEARL SCHOOL, AL THUMAMA",252632,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, AL THUMAMA",252632,AM (Pickup),2,STAFF (Part 2),PICK UP,0,23,23,2.27,3.3
"PEARL SCHOOL, AL THUMAMA",252632,AM (Pickup),3,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PEARL SCHOOL, AL THUMAMA",252632,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",252632,PM (Drop-off),2,STAFF (Part 2),DROP OFF,0,23,23,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",252632,PM (Drop-off),3,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",134986,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, AL THUMAMA",134986,AM (Pickup),2,STAFF (Part 3),PICK UP,0,23,23,2.27,3.3
"PEARL SCHOOL, AL THUMAMA",134986,AM (Pickup),3,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PEARL SCHOOL, AL THUMAMA",134986,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",134986,PM (Drop-off),2,STAFF (Part 3),DROP OFF,0,23,23,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",134986,PM (Drop-off),3,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),2,AL MANSOURA,PICK UP,2,2,4,3.24,4.5
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),3,MANSOURA,PICK UP,0,2,2,3.24,4.5
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),4,OLD AIRPORT (Part 1),PICK UP,16,6,22,7.25,10.4
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),5,OLD AIRPORT (Part 2),PICK UP,15,6,21,7.25,10.4
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),6,NAJMA,PICK UP,6,2,8,11.26,15.8
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),7,AL HITMI,PICK UP,1,0,1,13.75,19.2
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),8,OLD SALATA,PICK UP,2,0,2,15.13,21.5
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),9,OLD GHANIM,PICK UP,2,0,2,16.63,24.3
"PEARL SCHOOL, AL THUMAMA",64167,AM (Pickup),10,SCHOOL,DROP OFF,0,0,0,17.87,26.6
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),2,OLD GHANIM,DROP OFF,2,0,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),3,OLD SALATA,DROP OFF,2,0,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),4,AL HITMI,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),5,NAJMA,DROP OFF,6,2,8,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),6,OLD AIRPORT (Part 2),DROP OFF,15,6,21,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),7,OLD AIRPORT (Part 1),DROP OFF,16,6,22,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),8,MANSOURA,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),9,AL MANSOURA,DROP OFF,2,2,4,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",64167,PM (Drop-off),10,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),2,AL SADD,PICK UP,1,0,1,3.91,5.3
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),3,EV 39,PICK UP,1,0,1,3.91,5.3
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),4,DOHA JADEED,PICK UP,6,0,6,5.04,7.5
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),5,AL NASR,PICK UP,2,3,5,5.76,9.1
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),6,AL SUDAN,PICK UP,1,0,1,10.45,16.0
"PEARL SCHOOL, AL THUMAMA",335179,AM (Pickup),7,EV 21,PICK UP,3,1,4,15.05,22.1
