School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PEARL SCHOOL, WESTBAY",302699,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",302699,AM (Pickup),2,STAFF (Part 3),PICK UP,0,24,24,2.27,3.3
"PEARL SCHOOL, WESTBAY",302699,AM (Pickup),3,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PEARL SCHOOL, WESTBAY",302699,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",302699,PM (Drop-off),2,STAFF (Part 3),DROP OFF,0,24,24,N/A,N/A
"PEARL SCHOOL, WESTBAY",302699,PM (Drop-off),3,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",302759,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",302759,AM (Pickup),2,STAFF (Part 5),PICK UP,0,24,24,2.27,3.3
"PEARL SCHOOL, WESTBAY",302759,AM (Pickup),3,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PEARL SCHOOL, WESTBAY",302759,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",302759,PM (Drop-off),2,STAFF (Part 5),DROP OFF,0,24,24,N/A,N/A
"PEARL SCHOOL, WESTBAY",302759,PM (Drop-off),3,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",137072,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",137072,AM (Pickup),2,STAFF (Part 2),PICK UP,0,24,24,2.27,3.3
"PEARL SCHOOL, WESTBAY",137072,AM (Pickup),3,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PEARL SCHOOL, WESTBAY",137072,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",137072,PM (Drop-off),2,STAFF (Part 2),DROP OFF,0,24,24,N/A,N/A
"PEARL SCHOOL, WESTBAY",137072,PM (Drop-off),3,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",61067,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",61067,AM (Pickup),2,BIN OMRAN (Part 1),PICK UP,9,4,13,4.98,6.9
"PEARL SCHOOL, WESTBAY",61067,AM (Pickup),3,THUMAMA STADIUM SIDE,PICK UP,2,19,21,16.55,21.2
"PEARL SCHOOL, WESTBAY",61067,AM (Pickup),4,OLD AIRPORT (Part 2),PICK UP,2,14,16,22.00,29.8
"PEARL SCHOOL, WESTBAY",61067,AM (Pickup),5,OLD AIRPORT (Part 1),PICK UP,2,14,16,22.00,29.8
"PEARL SCHOOL, WESTBAY",61067,AM (Pickup),6,SCHOOL,DROP OFF,0,0,0,27.98,37.5
"PEARL SCHOOL, WESTBAY",61067,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",61067,PM (Drop-off),2,OLD AIRPORT (Part 1),DROP OFF,2,14,16,N/A,N/A
"PEARL SCHOOL, WESTBAY",61067,PM (Drop-off),3,OLD AIRPORT (Part 2),DROP OFF,2,14,16,N/A,N/A
"PEARL SCHOOL, WESTBAY",61067,PM (Drop-off),4,THUMAMA STADIUM SIDE,DROP OFF,2,19,21,N/A,N/A
"PEARL SCHOOL, WESTBAY",61067,PM (Drop-off),5,BIN OMRAN (Part 1),DROP OFF,9,4,13,N/A,N/A
"PEARL SCHOOL, WESTBAY",61067,PM (Drop-off),6,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),2,NUAIJA,PICK UP,0,2,2,5.66,7.2
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),3,EZDAN OASIS,PICK UP,0,10,10,18.79,23.1
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),4,EZDAN 23,PICK UP,0,1,1,25.82,33.8
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),5,WAKRAH,PICK UP,0,3,3,33.02,43.2
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),6,AL WAKRAH,PICK UP,0,2,2,33.02,43.2
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),7,EZDAN 18,PICK UP,0,1,1,38.28,50.3
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),8,EZDAN 05,PICK UP,0,11,11,39.31,54.3
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),9,EZDAN  06,PICK UP,0,6,6,39.31,54.3
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),10,EZDAN 06,PICK UP,0,2,2,39.31,54.3
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),11,EZDAN 09,PICK UP,0,1,1,39.31,54.3
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),12,EZDAN 57,PICK UP,0,1,1,39.31,54.3
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),13,EZDAN 04,PICK UP,0,2,2,39.31,54.3
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),14,WUKAIR,PICK UP,0,4,4,40.59,58.4
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),15,WUKAIR ( T A ),PICK UP,0,13,13,40.59,58.4
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),16,BARWA MADINATNA,PICK UP,3,0,3,50.51,71.6
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),17,HILAL,PICK UP,0,2,2,61.02,84.6
"PEARL SCHOOL, WESTBAY",60836,AM (Pickup),18,SCHOOL,DROP OFF,0,0,0,65.63,90.6
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),2,HILAL,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),3,BARWA MADINATNA,DROP OFF,3,0,3,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),4,WUKAIR ( T A ),DROP OFF,0,13,13,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),5,WUKAIR,DROP OFF,0,4,4,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),6,EZDAN 04,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),7,EZDAN 57,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),8,EZDAN 09,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),9,EZDAN 06,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),10,EZDAN  06,DROP OFF,0,6,6,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),11,EZDAN 05,DROP OFF,0,11,11,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),12,EZDAN 18,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),13,AL WAKRAH,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),14,WAKRAH,DROP OFF,0,3,3,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),15,EZDAN 23,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),16,EZDAN OASIS,DROP OFF,0,10,10,N/A,N/A
"PEARL SCHOOL, WESTBAY",60836,PM (Drop-off),17,NUAIJA,DROP OFF,0,2,2,N/A,N/A
