School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,AM (Pickup),2,BIN MAHMOUD,PICK UP,4,0,4,2.57,4.3
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,AM (Pickup),3,DOHA JADEED,PICK UP,5,0,5,5.86,9.2
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,AM (Pickup),4,AL SADD,PICK UP,3,0,3,6.68,11.1
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,AM (Pickup),5,BIN OMRAN,PICK UP,3,0,3,10.56,16.3
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,AM (Pickup),6,MADINAT KHALIFA SOUTH,PICK UP,3,0,3,13.28,19.6
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,AM (Pickup),7,MUNTAZA,PICK UP,4,0,4,14.15,21.0
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,AM (Pickup),8,MESHAF,PICK UP,2,4,6,18.39,26.9
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,AM (Pickup),9,SCHOOL,DROP OFF,0,0,0,28.28,38.5
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,PM (Drop-off),2,MESHAF,DROP OFF,2,4,6,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,PM (Drop-off),3,MUNTAZA,DROP OFF,4,0,4,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,PM (Drop-off),4,MADINAT KHALIFA SOUTH,DROP OFF,3,0,3,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,PM (Drop-off),5,BIN OMRAN,DROP OFF,3,0,3,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,PM (Drop-off),6,AL SADD,DROP OFF,3,0,3,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,PM (Drop-off),7,DOHA JADEED,DROP OFF,5,0,5,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,PM (Drop-off),8,BIN MAHMOUD,DROP OFF,4,0,4,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400001,PM (Drop-off),9,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),2,NEW SALATA,PICK UP,1,0,1,5.38,6.5
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),3,ABU HAMOUR,PICK UP,3,0,3,13.13,15.4
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),4,AIN KHALID,PICK UP,3,1,4,16.00,19.4
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),5,BARWA CITY,PICK UP,3,0,3,24.01,29.3
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),6,EZDAN 28,PICK UP,1,0,1,38.53,45.8
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),7,EZDAN 21,PICK UP,1,0,1,38.53,45.8
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),8,EZDAN 24,PICK UP,2,0,2,39.20,48.4
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),9,EZDAN 37,PICK UP,2,0,2,45.36,62.6
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),10,EZDAN 30,PICK UP,1,0,1,47.73,69.0
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),11,WAKRAH,PICK UP,1,0,1,52.92,76.6
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),12,EZDAN 40,PICK UP,1,0,1,58.82,84.8
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),13,WUKAIR,PICK UP,3,2,5,60.10,88.9
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),14,BARWA VILLAGE,PICK UP,1,0,1,68.29,99.0
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),15,BARWA MADINATNA,PICK UP,4,0,4,72.84,105.9
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,AM (Pickup),16,SCHOOL,DROP OFF,0,0,0,86.63,122.1
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),2,BARWA MADINATNA,DROP OFF,4,0,4,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),3,BARWA VILLAGE,DROP OFF,1,0,1,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),4,WUKAIR,DROP OFF,3,2,5,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),5,EZDAN 40,DROP OFF,1,0,1,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),6,WAKRAH,DROP OFF,1,0,1,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),7,EZDAN 30,DROP OFF,1,0,1,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),8,EZDAN 37,DROP OFF,2,0,2,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),9,EZDAN 24,DROP OFF,2,0,2,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),10,EZDAN 21,DROP OFF,1,0,1,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),11,EZDAN 28,DROP OFF,1,0,1,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),12,BARWA CITY,DROP OFF,3,0,3,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),13,AIN KHALID,DROP OFF,3,1,4,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),14,ABU HAMOUR,DROP OFF,3,0,3,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),15,NEW SALATA,DROP OFF,1,0,1,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400002,PM (Drop-off),16,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400003,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400003,AM (Pickup),2,MANSOURA,PICK UP,4,0,4,3.24,4.5
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400003,AM (Pickup),3,HILAL,PICK UP,2,0,2,5.47,8.3
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400003,AM (Pickup),4,OLD AIRPORT,PICK UP,3,0,3,8.20,12.9
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400003,AM (Pickup),5,NAJMA,PICK UP,1,0,1,12.21,18.3
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400003,AM (Pickup),6,OLD GHANIM,PICK UP,1,0,1,15.20,22.6
"PODAR PEARL KINDERGARTEN, AL WUKAIR",400003,AM (Pickup),7,SCHOOL,DROP OFF,0,0,0,16.44,24.9
