School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PODAR PEARL SCHOOL, AL MESHAF",252631,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",252631,AM (Pickup),2,AL GHANIM (Part 2),PICK UP,4,0,4,2.79,4.0
"PODAR PEARL SCHOOL, AL MESHAF",252631,AM (Pickup),3,AL GHANIM (Part 1),PICK UP,4,0,4,2.79,4.0
"PODAR PEARL SCHOOL, AL MESHAF",252631,AM (Pickup),4,OLD SALATA (Part 4),PICK UP,4,1,5,4.22,6.6
"PODAR PEARL SCHOOL, AL MESHAF",252631,AM (Pickup),5,OLD SALATA (Part 3),PICK UP,4,1,5,4.22,6.6
"PODAR PEARL SCHOOL, AL MESHAF",252631,AM (Pickup),6,OLD SALATA (Part 2),PICK UP,5,1,5,4.22,6.6
"PODAR PEARL SCHOOL, AL MESHAF",252631,AM (Pickup),7,OLD SALATA (Part 1),PICK UP,5,1,5,4.22,6.6
"PODAR PEARL SCHOOL, AL MESHAF",252631,AM (Pickup),8,OLD GHANIM,PICK UP,0,1,1,5.73,9.4
"PODAR PEARL SCHOOL, AL MESHAF",252631,AM (Pickup),9,SCHOOL,DROP OFF,0,0,0,6.97,11.6
"PODAR PEARL SCHOOL, AL MESHAF",252631,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252631,PM (Drop-off),2,OLD GHANIM,DROP OFF,0,1,1,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252631,PM (Drop-off),3,OLD SALATA (Part 1),DROP OFF,5,1,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252631,PM (Drop-off),4,OLD SALATA (Part 2),DROP OFF,5,1,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252631,PM (Drop-off),5,OLD SALATA (Part 3),DROP OFF,4,1,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252631,PM (Drop-off),6,OLD SALATA (Part 4),DROP OFF,4,1,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252631,PM (Drop-off),7,AL GHANIM (Part 1),DROP OFF,4,0,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252631,PM (Drop-off),8,AL GHANIM (Part 2),DROP OFF,4,0,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252631,PM (Drop-off),9,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252634,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",252634,AM (Pickup),2,STAFF (Part 1),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252634,AM (Pickup),3,STAFF (Part 6),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252634,AM (Pickup),4,STAFF (Part 5),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252634,AM (Pickup),5,STAFF (Part 4),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252634,AM (Pickup),6,STAFF (Part 3),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252634,AM (Pickup),7,STAFF (Part 2),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",252634,AM (Pickup),8,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PODAR PEARL SCHOOL, AL MESHAF",252634,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252634,PM (Drop-off),2,STAFF (Part 2),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252634,PM (Drop-off),3,STAFF (Part 3),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",252634,PM (Drop-off),4,STAFF (Part 4),DROP OFF,0,5,5,N/A,N/A
